Регион;Средний возраст
Тульская область;42,96
Тамбовская область;42,9
Рязанская область;42,49
Пензенская область;42,14
Псковская область;41,97
Тверская область;41,94
Воронежская область;41,92
Москва;41,89
Владимирская область;41,86
Орловская область;41,8
Ивановская область;41,75
Смоленская область;41,72
Ленинградская область;41,7
Новгородская область;41,66
Ульяновская область;41,64
Мордовия;41,61
Липецкая область;41,57
Курская область;41,57
Ярославская область;41,47
Калужская область;41,44
Брянская область;41,28
Санкт-Петербург;41,24
Нижегородская область;41,16
Белгородская область;41,13
Саратовская область;41,11
Крым;40,91
Курганская область;40,9
Ростовская область;40,76
Самарская область;40,73
Севастополь;40,72
Московская область;40,06
Краснодарский край;39,97
Вологодская область;39,89
Свердловская область;39,5
Челябинская область;39,4
Новосибирская область;39,33
Кемеровская область;39,28
Удмуртия;38,68
Сахалинская область;38,59
Астраханская область;38,52
Мурманская область;38,49
Хабаровский край;38,27
Магаданская область;38,26
Красноярский край;38,18
Томская область;38,01
Амурская область;37,9
Камчатский край;37,87
Еврейская автономная область;37,63
Иркутская область;37,42
Тюменская область;37,11
Ханты-Мансийский автономный округ;34,65
Чукотский автономный округ;34,85
Ненецкий автономный округ;35,13
Забайкальский край;35,9
