Год;Квартальные данные;Численность безработных в возрасте 15 лет и старше по субъектам Российской Федерации, в среднем за три месяца(тысяч);Миграция;Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций;Естественный прирост населения;Рождаемость;Доля трудоспособного населения;;;;;;;;;;;;;;;
2012;I кв.;4300;120000;9000;-10611,00;399438;752500;;;;;;;;;;;;;;;
;II кв.;5200;135000;9200;-68063,00;456500;756200;;;;;;;;;;;;;;;
;III кв.;5900;140000;9400;-29774,00;570625;758000;;;;;;;;;;;;;;;
;IV кв.;6000;150000;9500;-20643,00;475521;751784;;;;;;;;;;;;;;;
2013;I кв.;5200;130000;11000;-299,00;398123;736750;;;;;;;;;;;;;;;
;II кв.;5800;145000;11500;-299,00;454997;740200;;;;;;;;;;;;;;;
;III кв.;6200;155000;11800;-106,00;568747;741900;;;;;;;;;;;;;;;
;IV кв.;6100;160000;12000;-3547,00;473955;736600;;;;;;;;;;;;;;;
2014;I кв.;5000;110000;17000;3889,00;408963;720400;;;;;;;;;;;;;;;
;II кв.;4800;125000;17500;5210,00;466244;723200;;;;;;;;;;;;;;;
;III кв.;4500;130000;18000;88,00;582805;725700;;;;;;;;;;;;;;;
;IV кв.;4300;140000;18500;14826,00;484671;720425;;;;;;;;;;;;;;;
2015;I кв.;4100;100000;30500;22316,00;407522;705300;;;;;;;;;;;;;;;
;II кв.;4300;115000;31500;2982,00;465739;708600;;;;;;;;;;;;;;;
;III кв.;4500;120000;32500;2507,00;582174;709100;;;;;;;;;;;;;;;
;IV кв.;4600;130000;33000;2531,00;485144;704932;;;;;;;;;;;;;;;
2016;I кв.;3700;90000;35000;5764,00;396633;689800;;;;;;;;;;;;;;;
;II кв.;3800;105000;36000;11820,00;453295;692700;;;;;;;;;;;;;;;
;III кв.;3900;110000;37000;8985,00;566619;694500;;;;;;;;;;;;;;;
;IV кв.;4000;120000;38000;5469,00;472182;690154;;;;;;;;;;;;;;;
2017;I кв.;4224,0;336912;39167;-1140,00;354965;678200;;;;;;;;;;;;;;;
;II кв.;3965,6;401086;35983;-181,00;405674;681700;;;;;;;;;;;;;;;
;III кв.;3853,2;465260;40103;-416,00;507092;683000;;;;;;;;;;;;;;;
;IV кв.;3883,5;401086;37723;-549,00;422576;678912;;;;;;;;;;;;;;;
2018;I кв.;3858,9;311026;40691;-26751,00;336912;664300;;;;;;;;;;;;;;;
;II кв.;3635,2;370268;44477;-67563,00;384803;667200;;;;;;;;;;;;;;;
;III кв.;3530,5;429511;41830;-9785,00;481303;670100;;;;;;;;;;;;;;;
;IV кв.;3667,2;370268;46850;-31719,00;401326;666044;;;;;;;;;;;;;;;
2019;I кв.;3633,9;301668;43944;-97490,00;310026;651200;;;;;;;;;;;;;;;
;II кв.;3453,5;359128;48453;-5167,00;355457;654800;;;;;;;;;;;;;;;
;III кв.;3352,7;416589;45726;-101600,00;444322;656400;;;;;;;;;;;;;;;
;IV кв.;3511,6;359128;51684;-20309,00;371269;652564;;;;;;;;;;;;;;;
2020;I кв.;3485,1;293633;48390;-2647,00;301668;659000;;;;;;;;;;;;;;;
;II кв.;4500,4;349563;50784;-116984,00;344764;662200;;;;;;;;;;;;;;;
;III кв.;4807,0;405493;49021;-132600,00;430954;663700;;;;;;;;;;;;;;;
;IV кв.;4609,6;349563;56044;-65002,00;359128;661540;;;;;;;;;;;;;;;
2021;I кв.;4252,9;293633;52143;-115991,00;293633;650100;;;;;;;;;;;;;;;
;II кв.;3761,6;349563;57275;-32815,00;335581;653800;;;;;;;;;;;;;;;
;III кв.;3389,4;405493;54133;-368053,00;419476;654600;;;;;;;;;;;;;;;
;IV кв.;3281,5;349563;62828;-185213,00;349563;652520;;;;;;;;;;;;;;;
2022;I кв.;3177,7;273858;60101;-41794,00;273858;657200;;;;;;;;;;;;;;;
;II кв.;3003,2;326022;63784;-219497,00;312981;659500;;;;;;;;;;;;;;;
;III кв.;2926,2;378185;61385;-11237,00;391226;661300;;;;;;;;;;;;;;;
;IV кв.;2846,8;326022;71377;-770813,00;326022;658272;;;;;;;;;;;;;;;
2023;I кв.;2659,5;273858;66778;-71408,00;312000;645100;;;;;;;;;;;;;;;
;II кв.;2407,6;326022;73534;-259023,00;314000;648200;;;;;;;;;;;;;;;
;III кв.;2286,4;378185;70639;-89074,00;330000;649800;;;;;;;;;;;;;;;
;IV кв.;2248,7;326022;83684;-175052,00;309000;644936;;;;;;;;;;;;;;;
2024;I кв.;2094,8;265514;80582;-66184,00;300200;646734;;;;;;;;;;;;;;;
;II кв.;1942,2;316088;86495;-17096,00;299000;646221;;;;;;;;;;;;;;;
;III кв.;1843,4;366663;83891;-292162,00;335000;645643;;;;;;;;;;;;;;;
;IV кв.;1779,1;316088;100620;-124822,00;288000;644734;;;;;;;;;;;;;;;
