interview__key;Date;hh_02;settlement;members;memnal;Weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_0__1;hous_29_0__2;hous_29_0__3;hous_29_0__4;hous_29_0__5;hous_29_0__6;hous_29_0__7;hous_39;hous_44;soc_01;soc_05;hous_47
00-00-98-37;2021,04;5,00;2,00;3,00;3,00;156,84;16663,99;3713,27;0,00;2034,90;24473,21;86000,00;0,00;132885,37;308750,00;398463,27;89713,27;#ПУСТО!;300000,00;8750,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;32,00;103378,14;1,00;470,53;2,33;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;#ПУСТО!;#ПУСТО!
00-01-30-63;2021,09;3,00;2,00;1,00;1,00;222,14;35370,24;0,00;0,00;1007,73;8693,45;14208,33;0,00;59279,75;54000,00;68208,33;14208,33;#ПУСТО!;#ПУСТО!;0,00;44000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;10000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;2,00;5,00;3,00;82,00;54989,31;1,00;222,14;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-03-17-62;2021,03;3,00;1,00;2,00;2,00;91,06;37977,38;7126,92;0,00;2464,31;10863,10;45000,00;0,00;103431,71;449000,00;501126,92;52126,92;410000,00;#ПУСТО!;0,00;39000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;3,00;1,00;64,00;76034,63;1,00;182,13;1,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-07-18-82;2021,06;3,00;2,00;1,00;1,00;222,14;28619,32;2668,31;0,00;4377,96;6912,88;13727,78;0,00;56306,24;35000,00;51396,09;16396,09;#ПУСТО!;30000,00;5000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;3,00;3,00;61,00;90515,47;1,00;222,14;0,81;1,00;5,00;#ПУСТО!;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;4,00;2,00;#ПУСТО!;1,00
00-07-30-69;2021,06;11,00;1,00;2,00;2,00;138,21;11119,46;0,00;0,00;1485,95;14035,12;17040,00;0,00;43680,53;148000,00;165040,00;17040,00;70000,00;#ПУСТО!;0,00;69000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;9000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;2,00;6,00;3,00;74,00;51240,04;1,00;276,43;1,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-10-00-09;2021,11;6,00;1,00;4,00;4,00;156,33;61789,29;0,00;0,00;2013,13;16946,43;18433,33;0,00;99182,18;119000,00;137433,33;18433,33;90000,00;#ПУСТО!;0,00;#ПУСТО!;29000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;41,00;44420,20;2,00;625,32;2,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;1,00;10,00;#ПУСТО!
00-10-54-86;2021,09;8,00;1,00;3,00;3,00;185,77;125077,68;0,00;13470,24;3957,18;87527,98;21666,67;45833,33;297533,07;190000,00;211666,67;21666,67;190000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;31,00;97484,61;1,00;557,31;2,33;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;3,00;2,00;2,00;#ПУСТО!;1,00
00-11-75-01;2021,06;1,00;1,00;2,00;2,00;118,39;74797,35;0,00;0,00;2658,63;157651,97;205344,44;15000,00;455452,39;240000,00;445344,44;205344,44;#ПУСТО!;210000,00;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;30000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;5,00;1,00;52,00;157115,55;1,00;236,78;1,48;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-12-27-43;2021,09;9,00;1,00;4,00;4,00;117,45;89729,17;2724,19;0,00;963,09;34804,46;80822,02;0,00;209042,94;317500,00;401046,22;83546,22;280000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;26500,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;11000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;31,00;67269,42;1,00;469,81;2,83;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-13-51-78;2021,12;3,00;2,00;2,00;2,00;222,14;85579,46;0,00;0,00;1328,83;7781,85;53866,67;0,00;148556,80;40000,00;93866,67;53866,67;#ПУСТО!;#ПУСТО!;0,00;40000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;1,00;1,00;3,00;1,00;66,00;81287,45;1,00;444,28;1,83;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
