date,хорошее_RU-KGN_2010_2015,болезнь_RU-KGN_2010_2015,состояние_RU-KGN_2010_2015,плохое_RU-KGN_2010_2015,организм_RU-KGN_2010_2015,болезни_RU-KGN_2010_2015,организма_RU-KGN_2010_2015,жизнь_RU-KGN_2010_2015,лекарство_RU-KGN_2010_2015,болезней_RU-KGN_2010_2015,выздоровления_RU-KGN_2010_2015,жизни_RU-KGN_2010_2015,врача_RU-KGN_2010_2015,пищеварение_RU-KGN_2010_2015,врачи_RU-KGN_2010_2015
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,100,0,0,0,12,0,32,94,0,0,57,0,0,0
2011-02-01,0,0,0,0,0,0,0,52,0,0,0,75,0,0,0
2011-03-01,0,0,0,0,0,0,0,33,0,0,0,82,0,0,0
2011-04-01,0,0,0,0,0,9,0,37,0,0,0,100,0,0,0
2011-05-01,0,0,0,0,0,0,0,46,100,0,0,74,0,0,0
2011-06-01,0,0,0,0,0,0,0,34,0,0,0,61,0,0,0
2011-07-01,0,0,0,0,0,12,0,54,0,0,0,37,0,0,0
2011-08-01,0,65,0,0,0,0,0,40,0,0,0,47,0,0,0
2011-09-01,100,0,0,0,0,7,0,69,0,0,0,71,0,0,0
2011-10-01,0,89,0,0,0,6,0,49,0,0,0,71,0,0,0
2011-11-01,0,0,0,0,0,0,0,37,0,0,0,60,0,0,0
2011-12-01,0,0,0,0,0,0,0,47,0,0,0,63,0,0,0
2012-01-01,0,0,0,0,0,6,0,37,0,0,0,67,0,0,0
2012-02-01,0,70,0,0,0,0,0,43,0,0,0,78,0,0,0
2012-03-01,0,71,0,0,0,0,0,32,0,0,0,98,0,0,0
2012-04-01,0,0,0,0,0,6,0,43,0,0,0,86,0,0,0
2012-05-01,0,0,0,0,0,0,0,39,60,0,0,50,0,0,0
2012-06-01,0,55,0,0,0,0,0,43,0,0,0,41,0,0,0
2012-07-01,0,0,0,0,0,7,0,49,0,0,0,36,0,0,0
2012-08-01,0,0,0,0,0,0,100,39,0,0,0,44,0,100,0
2012-09-01,0,47,0,0,0,0,0,40,0,100,0,50,0,0,0
2012-10-01,63,0,100,0,0,5,0,39,0,0,0,66,0,0,0
2012-11-01,0,73,0,0,0,4,0,44,0,0,0,68,0,0,0
2012-12-01,0,55,0,0,0,0,0,29,0,0,0,54,0,0,0
2013-01-01,0,0,0,0,0,5,0,49,0,0,0,43,0,0,0
2013-02-01,0,65,0,0,0,4,0,35,0,0,0,50,0,0,0
2013-03-01,0,54,39,0,0,5,29,43,0,0,0,51,71,0,0
2013-04-01,0,33,0,0,0,6,0,29,0,0,0,56,100,0,0
2013-05-01,0,43,0,0,0,7,0,43,0,0,0,64,0,0,0
2013-06-01,0,0,0,0,0,7,0,33,0,0,0,41,0,0,0
2013-07-01,65,0,0,0,0,7,0,34,0,0,0,30,0,78,0
2013-08-01,0,33,0,0,0,0,0,26,0,0,0,28,0,0,0
2013-09-01,0,51,0,0,0,5,54,43,0,0,0,50,0,0,0
2013-10-01,0,38,37,0,0,0,0,32,36,0,0,63,0,0,0
2013-11-01,0,63,0,0,0,4,0,37,0,0,0,60,0,0,0
2013-12-01,0,42,0,0,0,5,0,40,43,0,0,63,0,0,0
2014-01-01,0,46,50,0,0,5,67,41,0,0,0,60,0,0,0
2014-02-01,0,52,39,0,0,5,0,51,0,0,0,39,0,0,0
2014-03-01,0,37,59,0,0,5,0,43,44,0,0,54,0,0,0
2014-04-01,0,46,32,0,100,3,0,44,0,0,0,53,0,0,0
2014-05-01,0,31,38,0,0,4,0,42,44,0,0,53,0,0,0
2014-06-01,0,45,0,0,0,4,0,100,42,0,0,46,0,0,0
2014-07-01,0,40,0,0,0,0,50,35,0,0,0,42,83,0,0
2014-08-01,52,49,0,0,0,3,0,49,0,0,0,31,0,0,0
