,date,болезнь_RU-KGN_2010_2015,состояние_RU-KGN_2010_2015,плохое_RU-KGN_2010_2015,организм_RU-KGN_2010_2015,болезни_RU-KGN_2010_2015,организма_RU-KGN_2010_2015,жизнь_RU-KGN_2010_2015,лекарство_RU-KGN_2010_2015,болезней_RU-KGN_2010_2015,жизни_RU-KGN_2010_2015,питании_RU-KGN_2010_2015,врача_RU-KGN_2010_2015,пищеварение_RU-KGN_2010_2015,врачи_RU-KGN_2010_2015,организме_RU-KGN_2010_2015,зависит_RU-KGN_2010_2015,лекарства_RU-KGN_2010_2015,больных_RU-KGN_2010_2015,лечить_RU-KGN_2010_2015,лечение_RU-KGN_2010_2015,врач_RU-KGN_2010_2015,пациентов_RU-KGN_2010_2015,date,самочувствие_RU-KGN_2015_2020,болезнь_RU-KGN_2015_2020,состояние_RU-KGN_2015_2020,плохое_RU-KGN_2015_2020,организм_RU-KGN_2015_2020,болезни_RU-KGN_2015_2020,организма_RU-KGN_2015_2020,жизнь_RU-KGN_2015_2020,лекарство_RU-KGN_2015_2020,больного_RU-KGN_2015_2020,болезней_RU-KGN_2015_2020,жизни_RU-KGN_2015_2020,питании_RU-KGN_2015_2020,врача_RU-KGN_2015_2020,пищеварение_RU-KGN_2015_2020,врачи_RU-KGN_2015_2020,организме_RU-KGN_2015_2020,лекарства_RU-KGN_2015_2020,больных_RU-KGN_2015_2020,пациента_RU-KGN_2015_2020,лечить_RU-KGN_2015_2020,лечение_RU-KGN_2015_2020,нуждается_RU-KGN_2015_2020,врач_RU-KGN_2015_2020,расстройство_RU-KGN_2015_2020,пациентов_RU-KGN_2015_2020
0,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-01-01,0,46,27,0,0,61,0,52,64,0,0,62,0,61,0,0,0,0,0,0,80,88,0,35,0,0
1,2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-01,0,28,38,0,0,45,0,45,36,0,0,76,0,55,0,0,0,67,0,0,65,91,0,0,0,0
2,2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-03-01,0,36,27,94,74,48,72,35,34,0,0,84,0,64,0,0,0,0,0,0,64,91,0,33,0,0
3,2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-04-01,0,52,29,0,68,49,0,42,39,0,0,75,100,55,0,0,0,57,0,0,61,80,0,0,0,0
4,2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-01,0,48,44,0,0,77,0,89,0,0,0,67,0,62,0,0,0,60,0,0,44,79,0,27,0,0
5,2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0,67,33,0,0,100,77,100,44,0,0,61,0,0,0,61,0,0,0,0,68,76,0,27,0,0
6,2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-01,0,32,30,0,0,42,71,53,0,0,0,48,0,0,0,0,0,47,0,0,77,87,0,0,0,0
7,2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-01,0,44,0,0,0,41,0,48,49,0,0,59,0,0,0,0,0,47,0,0,69,88,0,25,0,0
8,2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-01,0,25,0,0,0,42,65,63,0,0,0,88,0,0,0,0,0,0,0,0,57,96,0,40,0,0
9,2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2015-10-01,0,29,38,0,0,35,0,43,55,0,0,74,0,0,0,0,0,86,0,0,54,88,0,40,0,0
10,2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2015-11-01,0,38,0,0,0,55,58,45,66,0,0,79,0,0,0,55,0,0,37,0,64,88,0,36,0,0
11,2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-01,0,33,51,0,0,73,0,34,45,0,0,79,0,57,0,0,0,44,0,100,83,89,0,0,0,0
12,2011-01-01,81,0,100,0,0,0,34,0,0,72,0,0,0,0,0,0,0,0,0,46,0,0,2016-01-01,0,37,43,0,63,58,58,44,80,0,0,61,0,56,0,46,0,82,0,0,88,96,100,53,0,0
13,2011-02-01,86,0,0,0,0,0,40,0,0,78,0,0,0,0,0,0,0,0,0,67,0,0,2016-02-01,0,41,29,0,76,51,63,38,60,0,0,66,0,43,0,37,0,40,0,0,77,90,0,47,0,0
14,2011-03-01,0,0,0,0,0,0,36,0,100,65,0,0,0,0,0,0,0,0,63,87,0,0,2016-03-01,0,36,33,0,57,53,62,39,38,0,0,70,0,0,0,0,82,44,0,0,69,100,0,0,68,0
15,2011-04-01,0,0,0,0,72,0,38,0,0,100,0,0,0,0,0,0,0,0,99,100,0,0,2016-04-01,0,61,46,0,0,60,69,40,38,0,0,83,0,0,0,46,0,41,0,0,64,91,0,40,0,0
16,2011-05-01,0,0,0,0,0,0,40,0,0,75,0,0,0,0,0,0,0,0,0,73,0,0,2016-05-01,0,53,36,0,96,74,0,90,42,0,0,72,0,54,0,0,65,0,0,0,70,79,0,34,0,0
17,2011-06-01,0,0,0,0,77,0,34,0,0,67,0,0,0,0,0,0,0,0,0,100,0,0,2016-06-01,0,28,25,0,0,79,0,76,50,0,0,57,0,0,0,43,0,0,0,0,77,90,0,60,0,0
18,2011-07-01,0,0,0,0,100,0,54,0,0,37,0,0,0,0,0,0,0,0,0,71,0,0,2016-07-01,0,19,0,0,0,59,0,49,49,0,0,42,0,0,0,0,0,46,0,0,74,96,0,39,0,0
19,2011-08-01,100,0,0,0,0,0,40,0,0,53,0,0,0,0,0,0,100,0,0,57,0,0,2016-08-01,0,45,0,0,0,41,0,63,0,0,0,37,0,0,0,0,0,0,0,0,68,90,0,32,0,0
20,2011-09-01,0,0,0,0,0,0,73,0,0,70,0,0,0,0,0,0,0,0,0,50,0,0,2016-09-01,0,47,31,0,0,54,0,67,46,0,0,83,0,52,0,0,78,0,0,0,75,87,0,34,0,0
21,2011-10-01,0,0,0,0,0,0,51,0,0,78,0,0,0,0,0,0,0,0,64,60,0,0,2016-10-01,0,34,41,0,0,50,77,53,64,0,0,81,0,63,0,59,0,43,0,0,78,81,0,53,67,0
22,2011-11-01,0,0,0,0,0,0,49,0,0,66,0,0,0,0,0,0,0,0,0,70,0,0,2016-11-01,0,34,42,0,0,52,0,46,60,0,0,68,0,0,0,0,0,52,0,0,67,87,0,39,0,0
23,2011-12-01,0,0,0,0,0,0,45,0,0,64,0,0,0,0,0,0,0,0,60,62,0,0,2016-12-01,0,39,47,0,0,52,62,37,32,0,0,61,0,62,0,37,0,48,0,0,65,80,0,31,0,0
24,2012-01-01,0,0,0,0,44,0,38,0,0,67,0,0,0,0,0,0,0,0,62,67,0,0,2017-01-01,0,33,0,0,0,52,59,42,63,0,0,66,0,54,0,51,62,67,0,0,89,79,0,53,0,0
25,2012-02-01,83,0,0,0,0,0,46,0,0,68,0,0,0,0,0,0,0,0,56,46,0,0,2017-02-01,0,39,36,0,0,80,76,34,38,0,0,62,0,45,0,38,73,84,0,0,58,92,0,51,0,0
26,2012-03-01,59,0,0,0,40,0,36,0,0,90,0,0,0,0,0,0,0,0,59,60,0,0,2017-03-01,0,46,39,0,60,52,73,46,73,0,0,86,0,0,0,42,0,58,0,0,70,92,0,37,0,0
27,2012-04-01,0,0,0,0,0,0,48,0,0,63,0,0,0,0,0,0,0,0,61,57,0,0,2017-04-01,0,37,33,80,67,82,47,41,87,0,0,83,0,43,0,0,0,45,29,0,74,88,0,55,0,0
28,2012-05-01,0,0,0,0,57,0,31,0,0,66,0,0,0,0,0,100,0,0,67,60,0,0,2017-05-01,0,44,33,0,0,56,61,40,42,0,0,66,0,44,0,0,0,0,0,0,78,82,0,35,0,0
29,2012-06-01,0,0,0,0,56,0,33,0,0,47,0,0,0,0,0,0,0,0,49,50,0,0,2017-06-01,0,47,0,0,0,74,0,35,86,0,0,56,0,0,0,71,0,0,0,0,81,87,0,38,0,0
30,2012-07-01,0,0,0,0,0,0,55,0,0,42,0,0,0,0,0,0,0,0,0,77,0,0,2017-07-01,0,52,27,0,91,90,0,36,60,0,0,57,0,50,0,0,0,56,0,0,75,93,0,30,0,0
31,2012-08-01,0,0,0,0,0,0,38,0,0,35,0,0,0,0,0,0,0,0,54,44,0,0,2017-08-01,0,85,30,0,0,58,0,45,63,0,0,50,0,48,0,80,0,0,0,0,77,81,0,46,0,0
32,2012-09-01,0,0,0,0,0,0,40,0,0,56,0,0,0,0,0,0,0,0,73,45,0,0,2017-09-01,0,33,32,89,66,48,56,47,84,0,0,67,0,47,0,0,0,48,0,0,71,89,0,53,0,0
33,2012-10-01,0,0,0,0,42,0,56,0,0,73,0,0,0,0,0,0,0,0,77,65,0,0,2017-10-01,0,33,28,0,56,42,0,41,73,0,0,67,0,67,0,55,0,0,0,0,67,87,0,52,66,0
34,2012-11-01,87,71,0,0,45,100,42,0,0,65,0,0,0,0,0,0,0,0,42,60,0,0,2017-11-01,0,53,36,0,79,67,75,39,43,0,0,69,0,60,0,56,69,0,0,0,72,85,0,52,0,0
35,2012-12-01,59,0,0,0,0,0,31,0,0,60,0,0,0,0,0,0,0,100,57,51,0,0,2017-12-01,0,50,37,0,74,62,70,36,37,0,0,75,0,50,0,49,0,54,0,0,73,80,0,49,0,0
