date,самочувствие_MOW_2010_2015,болезнь_MOW_2010_2015,состояние_MOW_2010_2015,работоспособность_MOW_2010_2015,плохое_MOW_2010_2015,организм_MOW_2010_2015,болезни_MOW_2010_2015,организма_MOW_2010_2015,жизнь_MOW_2010_2015,лекарство_MOW_2010_2015,больного_MOW_2010_2015,болезней_MOW_2010_2015,выздоровления_MOW_2010_2015,жизни_MOW_2010_2015,питании_MOW_2010_2015,врача_MOW_2010_2015,пищеварение_MOW_2010_2015,врачи_MOW_2010_2015,организме_MOW_2010_2015,зависит_MOW_2010_2015,лекарства_MOW_2010_2015,больных_MOW_2010_2015,пациента_MOW_2010_2015,лечить_MOW_2010_2015,болезнью_MOW_2010_2015,лечение_MOW_2010_2015,нуждается_MOW_2010_2015,врач_MOW_2010_2015,расстройство_MOW_2010_2015,пациентов_MOW_2010_2015
2015-01-01,39,62,52,67,69,77,62,75,58,49,51,79,23,91,78,37,74,41,60,74,73,19,19,88,71,52,61,53,26,24
2015-02-01,39,61,49,63,67,73,69,74,48,58,57,83,40,92,95,40,73,45,67,69,86,23,26,92,66,56,75,58,25,33
2015-03-01,55,64,55,80,75,78,70,77,47,54,52,78,29,92,94,40,44,45,72,71,81,21,31,87,67,58,62,56,31,29
2015-04-01,39,65,55,71,58,81,73,73,47,50,57,76,23,91,88,35,54,46,73,73,75,19,28,81,67,56,50,54,29,27
2015-05-01,36,67,51,92,62,79,77,75,88,48,49,70,15,91,100,28,37,52,66,66,66,19,36,84,81,54,49,54,23,26
2015-06-01,33,75,49,70,56,65,100,68,100,49,62,80,17,72,76,32,27,46,56,50,69,20,36,86,56,51,66,53,26,25
2015-07-01,41,61,35,60,57,60,68,61,50,47,56,66,20,57,68,28,25,44,51,27,66,18,19,77,60,49,54,55,25,22
2015-08-01,40,58,37,51,66,52,57,57,49,45,35,56,20,57,73,33,16,47,49,27,69,17,20,85,45,50,46,57,25,22
2015-09-01,40,60,45,71,55,74,63,70,61,47,56,64,18,85,87,39,15,43,64,51,74,17,23,79,63,48,58,56,30,35
2015-10-01,41,60,51,78,65,70,64,72,53,48,54,77,28,89,86,38,44,48,68,63,71,19,25,78,69,51,35,57,28,25
2015-11-01,53,68,52,89,61,70,63,73,50,49,53,69,26,90,76,37,23,48,60,65,72,18,30,80,49,52,50,58,29,33
2015-12-01,43,62,55,69,72,80,69,76,50,50,64,70,33,92,69,40,50,45,63,77,72,21,35,88,64,50,50,57,31,28
2016-01-01,41,62,45,67,60,66,66,70,47,55,71,63,32,79,81,58,82,57,60,51,79,23,100,82,73,92,49,100,29,30
2016-02-01,50,62,49,69,63,78,72,87,48,51,74,78,29,86,100,55,69,58,71,69,79,28,40,75,63,97,95,76,31,45
2016-03-01,43,64,49,68,64,75,65,80,49,51,64,78,22,81,83,50,68,61,66,63,74,23,32,77,51,100,60,80,31,32
2016-04-01,57,62,49,56,56,71,72,75,46,49,69,77,27,85,92,48,47,56,65,60,70,24,33,72,53,90,76,74,31,31
2016-05-01,40,62,50,56,50,67,77,72,94,42,71,68,18,81,71,49,32,52,68,62,67,21,32,76,52,87,68,71,30,36
2016-06-01,38,80,48,75,59,72,80,66,78,47,66,70,20,75,72,38,39,58,63,56,69,24,40,80,90,58,71,62,32,45
2016-07-01,40,55,36,71,60,60,65,68,65,47,54,61,20,64,58,34,35,68,49,34,66,22,30,81,47,57,59,59,32,35
2016-08-01,41,53,34,70,57,57,55,59,81,48,43,60,25,59,60,38,28,70,45,25,70,18,16,83,53,53,0,63,36,28
2016-09-01,45,57,44,73,66,73,66,77,69,46,58,69,27,84,77,51,38,59,65,46,73,18,30,78,61,59,58,63,33,35
2016-10-01,41,65,49,72,64,67,65,70,60,49,61,67,14,86,91,54,48,57,69,65,71,22,29,83,60,66,62,71,37,42
2016-11-01,39,63,49,68,80,70,71,73,52,51,56,77,30,87,67,49,53,67,64,64,67,24,40,75,79,68,47,68,34,42
2016-12-01,54,60,49,73,85,75,79,78,51,55,66,74,29,84,72,73,48,57,60,72,72,25,40,91,71,71,54,69,38,39
2017-01-01,44,61,45,71,69,80,61,83,51,55,64,63,18,87,77,52,75,59,63,56,75,23,27,80,75,67,63,73,40,38
2017-02-01,45,61,46,54,100,73,74,76,48,61,59,72,31,85,75,56,64,59,67,55,75,28,25,84,69,76,73,71,40,44
2017-03-01,38,64,50,63,90,70,80,81,50,73,64,79,37,100,79,51,61,60,65,61,70,26,29,78,78,77,47,70,42,43
2017-04-01,46,61,55,69,86,74,81,76,53,100,62,80,28,92,88,43,38,65,70,60,67,26,32,77,57,73,93,71,42,40
2017-05-01,36,65,51,63,59,76,79,81,48,67,58,77,18,87,76,43,40,60,65,57,72,27,33,75,76,73,59,69,38,47
2017-06-01,40,72,52,72,71,60,73,65,46,78,61,73,28,74,74,42,25,67,58,42,67,24,36,75,53,67,54,71,37,48
2017-07-01,40,58,40,54,73,55,66,58,44,65,55,68,28,54,53,43,33,68,52,25,73,24,24,83,48,66,50,74,38,39
2017-08-01,44,84,41,49,67,56,64,63,46,60,53,66,23,62,64,43,28,72,48,23,68,22,21,81,40,68,67,80,48,36
2017-09-01,48,66,49,55,59,79,72,81,52,68,68,77,25,83,64,52,24,73,65,50,78,29,30,80,52,68,47,78,47,47
2017-10-01,47,65,56,64,97,72,75,80,58,62,75,78,32,92,79,63,49,70,70,65,81,30,47,78,74,73,48,84,50,58
2017-11-01,46,71,54,78,66,75,72,73,53,59,68,78,29,91,81,50,37,75,67,64,79,25,44,80,67,60,65,78,51,56
2017-12-01,50,77,64,87,64,76,72,82,52,59,64,71,22,94,76,50,57,65,70,73,73,25,42,74,70,52,60,70,52,51
