date,самочувствие_MOW_2010_2015,хорошее_MOW_2010_2015,болезнь_MOW_2010_2015,состояние_MOW_2010_2015,работоспособность_MOW_2010_2015,плохое_MOW_2010_2015,организм_MOW_2010_2015,болезни_MOW_2010_2015,организма_MOW_2010_2015,жизнь_MOW_2010_2015,лекарство_MOW_2010_2015,больного_MOW_2010_2015,болезней_MOW_2010_2015,влияет_MOW_2010_2015,выздоровления_MOW_2010_2015,жизни_MOW_2010_2015,питании_MOW_2010_2015,врача_MOW_2010_2015,пищеварение_MOW_2010_2015,врачи_MOW_2010_2015,организме_MOW_2010_2015,главное_MOW_2010_2015,зависит_MOW_2010_2015,лекарства_MOW_2010_2015,больных_MOW_2010_2015,пациента_MOW_2010_2015,лечить_MOW_2010_2015,болезнью_MOW_2010_2015,лечение_MOW_2010_2015,нуждается_MOW_2010_2015,врач_MOW_2010_2015,улучшить_MOW_2010_2015,расстройство_MOW_2010_2015,пациентов_MOW_2010_2015
2015-01-01,42,38,64,49,73,69,77,61,75,57,50,51,82,64,25,90,79,37,75,40,60,72,74,75,20,19,92,65,56,68,54,100,28,25
2015-02-01,45,47,61,47,62,67,73,70,76,49,59,57,86,72,40,93,98,41,78,46,69,75,72,88,23,27,100,71,57,98,59,93,27,32
2015-03-01,57,42,63,51,74,74,77,69,77,47,53,53,77,77,34,93,92,39,49,44,71,72,70,79,20,30,89,69,57,50,56,90,31,27
2015-04-01,39,41,72,52,79,56,82,73,72,46,50,54,78,77,22,91,93,35,50,45,76,79,74,79,19,27,82,65,57,38,55,96,30,29
2015-05-01,39,38,67,48,95,57,78,77,75,88,48,50,70,75,18,85,99,29,42,53,68,71,67,67,20,34,85,76,54,45,54,94,22,27
2015-06-01,37,37,73,45,68,56,66,100,67,100,49,55,80,64,16,70,71,32,25,45,57,69,50,69,20,34,88,61,53,59,53,86,26,25
2015-07-01,44,39,62,34,58,56,60,68,61,51,48,56,68,56,22,55,67,29,27,44,54,69,27,68,18,18,82,66,52,43,56,93,26,24
2015-08-01,43,44,58,35,52,67,52,57,57,50,46,33,57,49,23,54,72,33,20,48,49,56,26,71,17,19,86,47,52,52,57,88,26,21
2015-09-01,44,39,60,41,66,55,73,61,68,61,47,56,66,62,20,85,81,39,19,42,67,79,51,74,17,23,80,80,49,57,57,83,30,37
2015-10-01,42,40,60,47,78,63,70,63,72,51,48,54,79,67,26,87,85,38,45,48,68,91,62,72,18,25,83,73,50,66,58,84,29,29
2015-11-01,53,36,61,48,88,58,68,63,72,50,49,56,69,70,24,94,76,37,34,48,61,79,66,72,18,29,84,47,51,54,57,97,29,32
2015-12-01,43,42,62,52,73,72,81,69,77,51,51,63,71,81,28,91,72,40,52,45,64,90,79,74,22,35,83,75,51,0,58,78,32,29
2016-01-01,39,39,62,41,44,57,67,65,70,46,55,67,64,57,32,76,80,57,81,56,59,67,50,79,23,100,83,91,93,43,91,84,29,31
2016-02-01,50,41,64,46,70,66,77,72,85,48,51,74,83,63,34,86,100,55,62,58,71,92,71,81,27,42,82,55,96,87,78,96,32,46
2016-03-01,42,40,63,45,65,61,76,64,81,49,51,64,80,64,22,81,82,50,70,60,70,84,64,75,23,32,80,56,100,52,80,78,33,33
2016-04-01,53,36,63,45,39,56,71,71,74,50,49,67,80,61,25,78,93,49,49,57,65,73,61,70,23,29,74,54,90,54,77,81,31,30
2016-05-01,39,37,65,47,77,48,67,78,73,92,44,73,71,63,19,79,75,49,37,52,71,79,63,69,21,33,79,48,89,50,74,76,31,37
2016-06-01,39,42,73,45,88,60,72,80,67,77,47,65,72,63,0,69,75,39,46,57,63,89,57,70,25,40,89,89,58,75,63,88,33,47
2016-07-01,39,43,55,34,79,61,60,64,69,62,47,55,62,56,16,59,56,34,33,67,49,82,34,66,22,31,91,67,59,60,60,81,33,38
2016-08-01,32,33,52,31,72,55,56,54,59,81,48,45,60,50,28,56,62,37,25,69,47,64,25,70,18,19,85,50,54,0,63,84,36,30
2016-09-01,48,39,57,41,73,63,73,66,76,70,46,58,74,53,29,82,75,49,42,57,66,82,45,74,18,30,78,57,59,50,63,74,34,36
2016-10-01,45,39,63,46,74,64,66,64,69,58,50,61,68,67,17,88,81,54,48,58,68,82,66,73,22,31,84,61,68,74,74,78,38,46
2016-11-01,41,36,62,46,68,80,72,71,72,53,51,57,78,65,34,87,66,49,53,66,64,85,64,68,24,39,78,79,70,60,69,78,36,41
2016-12-01,56,40,59,45,68,83,74,77,76,51,56,64,76,65,38,80,65,72,45,56,59,83,72,72,24,40,87,75,72,57,68,75,38,39
2017-01-01,51,41,62,43,66,68,80,63,83,52,56,64,66,66,19,87,82,53,79,60,66,85,57,77,23,27,92,69,72,63,76,89,42,38
2017-02-01,49,41,62,43,55,100,72,74,75,49,61,59,74,65,32,83,73,56,65,57,68,81,54,76,28,26,84,70,78,62,72,68,41,44
2017-03-01,39,41,64,47,60,88,70,81,82,51,75,63,82,66,37,96,79,53,67,59,67,74,63,71,27,30,81,74,81,58,74,77,42,45
2017-04-01,50,41,65,51,66,83,75,80,75,53,100,60,81,67,20,85,83,43,37,64,71,78,60,67,26,32,75,54,74,74,71,79,42,38
2017-05-01,41,42,65,48,67,60,75,78,82,51,67,58,79,66,17,85,80,43,46,60,65,80,57,72,27,33,80,53,71,61,70,80,39,48
2017-06-01,40,38,70,48,69,72,60,73,65,48,77,61,75,63,30,66,72,41,27,66,58,74,42,67,24,37,86,52,68,41,72,74,37,47
2017-07-01,42,40,58,37,71,71,57,66,57,45,66,57,69,52,35,57,53,43,35,68,53,74,26,74,24,25,84,59,67,44,75,78,40,40
2017-08-01,44,42,90,38,59,66,56,62,62,47,60,53,68,52,27,59,70,42,30,72,48,71,23,68,22,21,84,47,70,44,78,76,48,38
2017-09-01,52,48,64,45,62,51,78,70,78,54,67,65,78,65,35,86,66,52,32,69,63,83,49,78,29,28,82,59,68,38,77,76,47,46
2017-10-01,50,60,66,52,71,96,73,73,81,61,62,74,81,72,32,90,73,63,47,69,71,98,65,83,30,44,78,74,74,41,81,80,52,58
2017-11-01,49,43,74,50,84,59,76,71,73,54,59,67,80,77,40,95,76,50,39,75,67,99,65,80,25,44,80,63,59,66,80,85,52,58
2017-12-01,58,44,67,60,76,63,76,71,82,53,59,59,74,82,24,92,72,49,71,65,69,96,73,75,25,42,76,72,51,54,68,70,53,52
2018-01-01,52,42,74,55,68,68,86,69,84,68,68,58,76,69,36,100,89,53,70,76,71,90,55,86,25,29,85,44,60,35,80,87,61,52
2018-02-01,62,46,81,54,66,75,84,70,79,56,72,66,86,66,34,90,81,62,100,84,72,88,58,86,26,37,83,72,58,51,78,85,53,47
2018-03-01,56,46,69,56,69,65,73,72,75,57,67,58,74,63,50,88,83,68,59,77,70,81,60,84,22,33,79,48,51,82,71,71,48,39
2018-04-01,40,41,71,50,65,61,73,72,75,51,63,58,82,70,30,81,88,55,57,74,74,81,64,78,22,35,79,84,49,41,78,80,49,40
2018-05-01,36,36,73,48,60,62,74,71,74,46,54,57,79,73,13,86,97,40,54,65,65,74,62,76,22,35,93,78,48,63,71,73,53,45
2018-06-01,45,34,68,42,51,64,60,62,60,46,54,49,80,64,19,71,70,41,40,78,54,74,40,66,22,36,72,48,47,58,74,71,56,36
2018-07-01,61,37,60,43,39,61,60,59,58,47,61,47,65,53,22,58,51,41,29,72,51,68,25,68,22,28,79,66,47,52,75,65,49,42
2018-08-01,50,37,66,40,48,57,61,52,61,47,58,38,63,55,26,57,56,46,27,74,50,73,28,77,23,27,80,59,50,46,77,69,55,38
2018-09-01,47,37,71,50,59,62,75,65,76,49,59,61,75,68,34,86,56,53,35,74,72,80,54,77,21,33,81,92,48,0,77,72,56,44
2018-10-01,51,37,75,52,59,67,73,67,76,49,56,61,84,77,36,90,83,60,66,78,71,92,67,76,24,39,74,88,50,39,80,71,55,46
2018-11-01,55,40,71,50,83,71,77,64,73,50,58,57,81,74,33,86,74,49,46,74,65,86,70,74,25,41,80,77,47,50,86,72,60,63
2018-12-01,41,41,75,55,82,75,82,72,79,48,58,66,73,70,43,86,61,54,51,73,67,83,74,76,25,43,75,65,50,67,75,72,57,52
2019-01-01,57,46,70,50,50,72,81,68,79,55,66,59,68,67,36,98,85,59,100,84,76,76,55,84,26,29,91,68,59,57,84,85,58,44
2019-02-01,49,41,72,50,37,72,81,69,75,51,66,60,84,72,49,84,68,63,84,82,79,84,54,82,28,39,83,88,53,46,84,75,56,53
2019-03-01,67,42,100,51,59,60,72,75,81,54,63,64,89,75,33,83,79,54,52,89,73,81,70,79,25,38,75,94,55,51,87,72,66,55
2019-04-01,60,35,77,50,62,72,78,72,74,49,63,62,78,73,37,81,90,50,58,86,76,85,61,81,25,38,79,85,58,62,84,77,58,58
