Дата;болезнь;состояние;плохое;организм;болезни;организма;жизнь;лекарство;болезней;жизни;питании;врача;пищеварение;врачи;организме;зависит;лекарства;больных;лечить;лечение;врач;пациентов;здоровье и стресс_KGN_2010_2015;здоровье и питание_KGN_2010_2015;влияет на здоровье_KGN_2010_2015;защита здоровья_KGN_2010_2015;контроль здоровья_KGN_2010_2015;улучшение здоровья_KGN_2010_2015;профилактика здоровья_KGN_2010_2015;проверка здоровья_KGN_2010_2015;кашель не проходит 2 недели_KGN_2010_2015;хороший терапевт_KGN_2010_2015
01.01.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.03.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.04.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.05.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0
01.07.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0
01.09.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.10.2010;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.11.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
01.12.2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2011;81;0;100;0;0;0;34;0;0;72;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2011;86;0;0;0;0;0;40;0;0;78;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;100;0
01.03.2011;0;0;0;0;0;0;36;0;100;65;0;0;0;0;0;0;0;0;63;87;0;0;0;0;0;0;0;0;0;0;0;0
01.04.2011;0;0;0;0;72;0;38;0;0;100;0;0;0;0;0;0;0;0;99;100;0;0;0;0;0;0;0;0;0;0;0;0
01.05.2011;0;0;0;0;0;0;40;0;0;75;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2011;0;0;0;0;77;0;34;0;0;67;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
01.07.2011;0;0;0;0;100;0;54;0;0;37;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2011;100;0;0;0;0;0;40;0;0;53;0;0;0;0;0;0;100;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0
01.09.2011;0;0;0;0;0;0;73;0;0;70;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0
01.10.2011;0;0;0;0;0;0;51;0;0;78;0;0;0;0;0;0;0;0;64;60;0;0;0;0;0;0;0;0;0;0;0;0
01.11.2011;0;0;0;0;0;0;49;0;0;66;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0
01.12.2011;0;0;0;0;0;0;45;0;0;64;0;0;0;0;0;0;0;0;60;62;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2012;0;0;0;0;44;0;38;0;0;67;0;0;0;0;0;0;0;0;62;67;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2012;83;0;0;0;0;0;46;0;0;68;0;0;0;0;0;0;0;0;56;46;0;0;0;0;0;0;0;0;0;0;0;0
01.03.2012;59;0;0;0;40;0;36;0;0;90;0;0;0;0;0;0;0;0;59;60;0;0;0;0;0;0;0;0;0;0;0;0
01.04.2012;0;0;0;0;0;0;48;0;0;63;0;0;0;0;0;0;0;0;61;57;0;0;0;0;0;0;0;0;0;0;0;0
01.05.2012;0;0;0;0;57;0;31;0;0;66;0;0;0;0;0;100;0;0;67;60;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2012;0;0;0;0;56;0;33;0;0;47;0;0;0;0;0;0;0;0;49;50;0;0;0;0;0;0;0;0;0;0;0;0
