Дата;самочувствие;болезнь;состояние;работоспособность;плохое;организм;болезни;организма;жизнь;лекарство;больного;болезней;выздоровления;жизни;питании;врача;пищеварение;врачи;организме;зависит;лекарства;больных;пациента;лечить;болезнью;лечение;нуждается;врач;расстройство;пациентов;как сохранить здоровье_MOW_2010_2015;влияет на здоровье_MOW_2010_2015;хорошее самочувствие_MOW_2010_2015;как улучшить самочувствие_MOW_2010_2015;хорошее зрение_MOW_2010_2015;советы по здоровью_MOW_2010_2015;кашель не проходит 2 недели_MOW_2010_2015;физическая нагрузка_MOW_2010_2015;как правильно питаться_MOW_2010_2015;хороший терапевт_MOW_2010_2015
01.01.2010;0;56;63;0;63;92;71;73;36;100;0;65;0;78;72;50;0;50;49;26;59;61;0;59;0;100;0;54;29;0;0;0;0;0;0;0;0;0;0;0
01.02.2010;0;76;51;0;0;62;70;80;37;97;72;76;0;79;76;58;0;63;56;34;76;61;0;55;0;95;0;54;28;100;0;0;0;0;0;0;0;0;0;0
01.03.2010;0;71;69;0;0;75;78;90;35;80;78;100;0;82;100;63;0;44;68;33;64;84;0;53;0;100;0;58;67;0;0;0;0;0;0;0;0;0;0;0
01.04.2010;0;76;74;0;54;73;88;71;36;94;54;85;0;84;78;65;0;42;63;37;83;100;65;61;100;98;0;71;62;0;0;0;0;0;0;0;0;0;0;0
01.05.2010;0;73;75;95;76;86;86;79;36;80;54;57;0;79;0;41;0;37;69;48;64;69;0;51;0;87;0;51;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2010;0;83;67;100;52;59;83;79;34;75;57;72;0;64;0;49;0;37;47;26;64;67;0;62;0;88;0;55;53;0;0;0;0;0;0;0;0;0;0;0
01.07.2010;0;62;47;0;58;49;68;63;30;71;0;59;0;52;0;52;0;40;36;28;65;76;0;67;0;93;0;70;31;0;0;0;0;0;0;0;0;0;0;0
01.08.2010;0;58;45;0;70;42;72;71;33;56;0;68;0;52;0;56;0;45;68;15;74;47;0;67;0;93;0;65;66;0;0;0;0;0;0;0;0;0;0;0
01.09.2010;86;65;49;0;77;59;69;60;40;77;55;81;0;68;0;63;0;57;54;30;67;85;0;61;0;87;0;55;36;0;0;0;0;0;0;0;0;0;0;0
01.10.2010;0;71;65;64;56;54;67;73;41;73;41;78;0;81;0;63;0;39;48;42;61;75;53;57;66;80;0;51;48;0;0;0;0;0;0;0;0;0;0;0
01.11.2010;0;65;58;0;63;63;69;70;39;67;50;66;0;86;0;52;0;46;44;46;65;57;0;64;0;77;0;59;49;82;0;0;0;0;0;0;100;0;0;0
01.12.2010;0;65;82;83;60;76;67;75;40;66;47;78;100;78;54;50;0;30;46;51;53;59;0;58;0;73;0;58;61;0;0;0;0;0;0;0;0;0;0;0
01.01.2011;99;72;71;48;77;57;59;64;41;74;46;66;63;76;50;64;0;50;56;38;100;70;0;60;0;74;0;68;46;47;0;0;0;0;0;0;0;0;0;0
01.02.2011;72;81;54;86;68;58;59;69;40;74;50;80;0;74;56;75;0;62;53;35;99;69;34;57;0;85;0;64;58;58;0;0;0;0;0;0;0;0;0;0
01.03.2011;63;82;57;0;70;57;61;67;37;68;63;79;0;70;0;54;80;67;50;43;84;89;43;53;0;77;0;62;64;77;0;100;0;0;0;0;0;0;52;0
01.04.2011;64;73;59;39;62;60;60;67;38;66;55;85;0;75;56;58;49;52;52;35;73;69;51;43;36;69;0;62;69;94;0;0;0;0;0;0;0;0;56;0
01.05.2011;47;73;66;52;87;60;61;65;36;60;42;79;0;79;62;48;0;51;45;37;65;70;61;47;0;74;68;57;49;66;0;0;0;0;0;0;0;0;0;0
01.06.2011;48;72;63;50;63;57;56;67;39;64;59;81;0;82;36;48;0;51;56;31;66;67;48;51;59;71;0;65;51;91;100;0;0;0;0;0;0;0;100;0
01.07.2011;57;62;43;37;68;45;49;59;39;56;28;62;0;63;49;44;0;40;28;22;64;54;30;53;0;86;0;59;52;68;0;0;0;0;0;0;0;0;0;0
01.08.2011;94;62;45;36;58;41;45;43;39;64;34;67;0;62;35;53;0;46;42;25;64;64;28;56;35;71;0;60;63;62;0;0;0;0;0;0;0;0;54;0
01.09.2011;95;66;55;41;64;70;54;68;39;60;45;60;0;73;38;55;54;43;59;32;63;59;47;55;28;59;42;58;47;66;0;0;0;0;0;0;0;0;0;0
01.10.2011;40;63;56;79;72;62;52;64;37;60;44;66;0;73;45;53;0;50;46;43;61;56;37;55;37;60;45;60;61;79;0;0;0;0;0;0;0;0;0;0
01.11.2011;70;71;62;56;67;62;54;75;37;57;29;62;61;75;42;60;0;57;46;46;62;60;36;55;33;63;61;59;45;66;0;0;0;0;0;0;0;0;0;0
01.12.2011;40;64;60;39;69;71;48;72;40;57;54;55;0;68;38;51;48;46;50;50;63;56;54;55;33;59;0;56;57;55;0;0;0;0;0;0;0;0;0;0
01.01.2012;51;70;55;48;63;66;46;75;36;59;37;68;48;73;43;56;46;49;61;38;60;69;32;60;25;69;0;64;58;47;0;0;0;0;0;0;0;0;0;0
01.02.2012;77;89;56;55;64;80;56;74;41;62;52;69;0;72;55;65;52;50;64;47;68;72;52;63;26;67;0;67;53;65;0;0;0;0;0;0;0;0;52;0
01.03.2012;81;70;74;63;74;76;56;80;37;58;55;62;0;100;60;60;52;62;60;80;62;85;44;61;32;66;88;67;55;56;0;0;0;0;0;0;0;0;39;0
01.04.2012;74;73;68;58;86;69;60;78;36;70;70;72;0;97;50;68;44;66;68;67;61;80;67;57;26;65;68;68;56;66;0;0;0;0;0;0;0;100;44;0
01.05.2012;80;82;75;76;95;91;64;85;35;61;63;75;0;74;56;56;61;55;79;92;66;67;79;61;33;71;79;64;54;90;0;56;0;0;0;0;0;0;0;0
01.06.2012;68;81;62;52;63;73;66;87;33;51;57;77;0;65;58;62;38;60;65;82;61;60;68;62;40;70;99;63;57;62;0;0;0;0;0;0;0;0;37;0
01.07.2012;50;65;50;49;61;62;53;70;33;53;57;65;0;57;45;56;0;62;52;69;60;69;36;58;22;67;100;69;56;72;0;0;0;0;0;0;0;0;53;0
01.08.2012;66;65;38;66;60;53;45;61;34;61;47;52;0;54;35;60;33;64;54;24;59;66;37;66;0;59;0;69;70;62;0;0;0;0;0;0;0;0;38;0
01.09.2012;70;71;55;54;65;64;53;63;35;55;63;68;33;71;43;67;32;59;60;42;64;67;38;64;0;61;0;70;59;57;0;0;0;0;0;0;0;0;68;0
01.10.2012;72;72;59;50;73;68;54;75;41;62;69;62;39;72;46;70;0;57;68;62;61;73;54;69;30;56;37;68;59;75;44;53;0;0;0;0;0;0;43;0
01.11.2012;69;91;58;58;75;70;58;77;36;58;68;67;55;72;52;72;44;68;61;54;53;63;50;63;27;55;37;68;53;56;0;58;0;0;0;0;0;0;45;0
